metric,value
overlap_start,2026-06-15
overlap_end,2026-07-29
art03_headers_examined,19446
art03_headers_selected,38
art03_bytes_read,4122552
art03_void_headers,296
art03_blank_dates,0
art03_invalid_dates,0
art03_future_dates,0
art13_lines_examined,0
art13_lines_selected,0
art13_bytes_read,0
art03_fid_before_hex,06140000000000C0583A2F414F4E2F41444154412F4152542D3033
art03_fin_before_hex,00496200FFFFFFFF000180000002033AD05800000000000000005CFC51D10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004BF6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
art03_fid_after_hex,06140000000000C0583A2F414F4E2F41444154412F4152542D3033
art03_fin_after_hex,00496200FFFFFFFF000180000002033AD05800000000000000005CFC51D10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004BF6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
art13_fid_before_hex,06140000000000E0583A2F414F4E2F41444154412F4152542D3133
art13_fin_before_hex,01516E00FFFFFFFF000180000002033AD08800000000000000005CFC51CA000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001349B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
art13_fid_after_hex,06140000000000E0583A2F414F4E2F41444154412F4152542D3133
art13_fin_after_hex,01516E00FFFFFFFF000180000002033AD08800000000000000005CFC51CA000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001349B000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
open_mode,O_RDONLY
