"Metric","Value","Unit","Qualification"
"WindowStart","2026-06-15","date","PASS"
"WindowEnd","2026-07-29","date","PASS"
"WindowDaysInclusive","45","days","PASS"
"Art03RecordsExamined","19446","records","PASS"
"Art03HeadersSelected","38","records","PASS"
"Art03BytesProcessed","4122552","bytes","PASS"
"Art13ExactKeyProbes","38000","keys","PASS"
"Art13RecordsExamined","219","records","PASS"
"Art13RecordsSelected","219","records","PASS"
"Art13BytesProcessed","53436","bytes","PASS"
"Art13FullQualifiedPopulation","79003","records","REFERENCE"
"Art13RecordReadReduction","99.72","percent","PASS"
"SourceElapsed","4465","milliseconds","PASS"
"CanonicalHeaders","38","records","PASS"
"CanonicalLines","50","records","PASS"
"FilteredNonReportLineCode","127","records","PASS"
"FilteredZeroQuantity","42","records","PASS"
"SourceOpenMode","O_RDONLY","","PASS"
"SourceWrites","0","operations","PASS"
"SourceLocksRequested","0","operations","PASS"
"Art13FullScan","false","","PASS"
