"FirmId","VendorNumber","PurchaseOrderNumber","PurchaseOrderLineNumber","UnitCost","ExtendedCost","AccessClassification"
"01","000031","0044118","005","145.81","291.62","AccountingRestricted"
"01","000031","0044336","005","120.41","120.41","AccountingRestricted"
"01","000031","0044336","010","0","0","AccountingRestricted"
"01","000032","0038651","005","1.97","0","AccountingRestricted"
"01","000032","0038651","010","20.63","61.89","AccountingRestricted"
"01","000032","0038651","015","14.33","28.66","AccountingRestricted"
"01","000032","0038651","020","34.29","102.87","AccountingRestricted"
"01","000032","0042222","010","28.4","284","AccountingRestricted"
"01","000032","0042222","015","28.4","284","AccountingRestricted"
"01","000032","0042222","020","0","0","AccountingRestricted"
"01","000032","0042363","005","0.71","0","AccountingRestricted"
"01","000032","0043754","025","54.94","109.88","AccountingRestricted"
"01","000032","0043754","030","0","0","AccountingRestricted"
"01","000032","0043754","035","0","0","AccountingRestricted"
"01","000034","0026699","008","0.49","2.45","AccountingRestricted"
"01","000034","0026699","009","0","0","AccountingRestricted"
"01","000049","0028579","005","23","115","AccountingRestricted"
"01","000049","0028579","010","23","460","AccountingRestricted"
"01","000049","0028579","015","250","250","AccountingRestricted"
"01","000049","0038548","015","250","250","AccountingRestricted"
"01","000049","0038648","010","250","250","AccountingRestricted"
"01","000049","0039428","005","19.6","490","AccountingRestricted"
"01","000049","0040976","005","33.9","101.7","AccountingRestricted"
"01","000049","0040976","010","0","0","AccountingRestricted"
"01","000049","0046113","005","6.65","665","AccountingRestricted"
"01","000049","0046113","010","0","0","AccountingRestricted"
"01","000049","0046116","005","94.6","1419","AccountingRestricted"
"01","000057","0027329","005","275","275","AccountingRestricted"
"01","000073","0028476","005","180","360","AccountingRestricted"
"01","000075","0028229","010","4.73","18.92","AccountingRestricted"
"01","000077","0027620","005","1.42","4.26","AccountingRestricted"
"01","000077","0043724","010","1.7755","17.755","AccountingRestricted"
"01","000077","0043998","005","59.98","119.96","AccountingRestricted"
"01","000099","0026776","010","0.05","40","AccountingRestricted"
"01","000099","0027530","005","0.009","7.578","AccountingRestricted"
"01","000099","0028081","020","0.027","8.1","AccountingRestricted"
"01","000099","0028247","045","0.035","15.225","AccountingRestricted"
"01","000099","0028247","050","0.035","19.775","AccountingRestricted"
"01","000099","0040127","005","2.8","11.2","AccountingRestricted"
"01","000099","0040127","010","2.4","9.6","AccountingRestricted"
"01","000099","0040127","015","0","0","AccountingRestricted"
"01","000104","0027560","005","0.39","19.5","AccountingRestricted"
"01","000104","0027560","010","0.39","0.78","AccountingRestricted"
"01","000104","0027560","015","8.95","8.95","AccountingRestricted"
"01","000118","0026585","002","3.49","10.47","AccountingRestricted"
"01","000118","0026585","003","29.33","29.33","AccountingRestricted"
"01","000144","0026760","002","0.16","0","AccountingRestricted"
"01","000144","0026760","003","0","0","AccountingRestricted"
"01","000144","0027288","005","0.092","46","AccountingRestricted"
"01","000144","0027288","010","0.092","13.8","AccountingRestricted"
"01","000144","0027288","015","0.092","32.2","AccountingRestricted"
"01","000144","0038382","005","0.11","0","AccountingRestricted"
"01","000144","0041916","015","1.65","29.7","AccountingRestricted"
"01","000155","0039043","005","0.3756","0","AccountingRestricted"
"01","000155","0039565","005","0.15","37.5","AccountingRestricted"
"01","000155","0039565","010","0.15","7.5","AccountingRestricted"
"01","000155","0039565","015","0.15","15","AccountingRestricted"
"01","000155","0039565","020","0.15","15","AccountingRestricted"
"01","000155","0039565","025","0.15","22.5","AccountingRestricted"
"01","000155","0039565","030","0.15","11.25","AccountingRestricted"
"01","000155","0039565","035","0.15","15","AccountingRestricted"
"01","000155","0039565","040","0.15","11.25","AccountingRestricted"
"01","000155","0039565","045","0.11","55","AccountingRestricted"
"01","000155","0039565","050","0.11","55","AccountingRestricted"
"01","000155","0040967","005","0.25","25","AccountingRestricted"
"01","000155","0040967","010","0.32","32","AccountingRestricted"
"01","000155","0040967","015","0","0","AccountingRestricted"
"01","000155","0041310","001","0.18","7.2","AccountingRestricted"
"01","000155","0045090","055","0.254","53.34","AccountingRestricted"
"01","000155","0045090","060","0.254","73.66","AccountingRestricted"
"01","000156","0044167","010","156.7","156.7","AccountingRestricted"
"01","000156","0044348","005","80.54","161.08","AccountingRestricted"
"01","000174","0026529","001","0.55","1276","AccountingRestricted"
"01","000174","0026529","002","0.55","1375","AccountingRestricted"
"01","000174","0026529","003","0.55","1375","AccountingRestricted"
"01","000174","0026529","004","0.55","1375","AccountingRestricted"
"01","000174","0026529","005","0.55","1100","AccountingRestricted"
"01","000174","0026529","006","0","0","AccountingRestricted"
"01","000174","0026873","001","11","55","AccountingRestricted"
"01","000174","0026913","004","6.25","156.25","AccountingRestricted"
"01","000174","0026913","009","6.25","250","AccountingRestricted"
"01","000174","0026991","007","0.55","550","AccountingRestricted"
"01","000174","0027659","020","8.25","5230.5","AccountingRestricted"
"01","000174","0027751","020","12.5","2187.5","AccountingRestricted"
"01","000174","0027947","005","24","0","AccountingRestricted"
"01","000174","0028040","005","14","14","AccountingRestricted"
"01","000174","0028040","010","14","14","AccountingRestricted"
"01","000174","0028224","030","32.6","97.8","AccountingRestricted"
"01","000174","0028244","015","8.25","16.5","AccountingRestricted"
"01","000174","0028250","015","3.2","128","AccountingRestricted"
"01","000174","0028250","025","3.2","320","AccountingRestricted"
"01","000174","0028495","005","2.75","27.5","AccountingRestricted"
"01","000174","0028495","010","0","0","AccountingRestricted"
"01","000174","0028495","015","0","0","AccountingRestricted"
"01","000174","0028532","005","16","400","AccountingRestricted"
"01","000174","0028556","015","6.75","0","AccountingRestricted"
"01","000174","0038774","010","8.5","17","AccountingRestricted"
"01","000174","0039248","015","10","10","AccountingRestricted"
"01","000174","0039315","015","4.75","237.5","AccountingRestricted"
"01","000174","0039345","005","13","0","AccountingRestricted"
"01","000174","0039345","010","13","13","AccountingRestricted"
"01","000174","0039385","010","5.75","57.5","AccountingRestricted"
"01","000174","0039499","010","0.55","198","AccountingRestricted"
"01","000174","0039894","015","8.5","17","AccountingRestricted"
"01","000174","0039894","020","0","0","AccountingRestricted"
"01","000174","0039894","025","0","0","AccountingRestricted"
"01","000174","0039894","030","0","0","AccountingRestricted"
"01","000174","0039894","035","8.5","-17","AccountingRestricted"
"01","000174","0040084","020","8.5","0","AccountingRestricted"
"01","000174","0040779","015","98","98","AccountingRestricted"
"01","000174","0042267","010","5.75","11.5","AccountingRestricted"
"01","000174","0042267","015","0","0","AccountingRestricted"
"01","000174","0046133","005","7.15","71.5","AccountingRestricted"
"01","000174","0046133","010","7.15","643.5","AccountingRestricted"
"01","000174","0277334","015","8","40","AccountingRestricted"
"01","000177","0041527","001","0.1113","6.678","AccountingRestricted"
"01","000177","0041527","002","0.1113","48.972","AccountingRestricted"
"01","000184","0026376","004","0.18","13.32","AccountingRestricted"
"01","000184","0026376","005","0.18","11.88","AccountingRestricted"
"01","000184","0026376","006","0","0","AccountingRestricted"
"01","000184","0026376","013","0.46","9.2","AccountingRestricted"
"01","000184","0026541","003","0.9","9","AccountingRestricted"
"01","000184","0026726","021","0.005","25","AccountingRestricted"
"01","000184","0026726","022","0","0","AccountingRestricted"
"01","000184","0026726","023","0.0085","42.5","AccountingRestricted"
"01","000184","0026726","024","0","0","AccountingRestricted"
"01","000184","0026726","033","0.35","3.5","AccountingRestricted"
"01","000184","0027261","035","0.9","2.7","AccountingRestricted"
"01","000184","0028068","045","0.69","103.5","AccountingRestricted"
"01","000184","0028255","015","0.29","0","AccountingRestricted"
"01","000184","0028507","015","0.9","138.6","AccountingRestricted"
"01","000184","0028507","025","0.69","82.8","AccountingRestricted"
"01","000184","0028507","030","0.69","88.32","AccountingRestricted"
"01","000184","0042003","045","0.69","13.8","AccountingRestricted"
"01","000196","0028181","005","38.95","233.7","AccountingRestricted"
"01","000196","0028181","010","0","0","AccountingRestricted"
"01","000196","0028181","015","0","0","AccountingRestricted"
"01","000196","0039004","015","5.9","82.6","AccountingRestricted"
"01","000204","0044292","005","0.1681","84.05","AccountingRestricted"
"01","000209","0027683","030","4.8","480","AccountingRestricted"
"01","000209","0027683","035","0","0","AccountingRestricted"
"01","000210","0026638","005","6.75","6.75","AccountingRestricted"
"01","000210","0026638","006","0","0","AccountingRestricted"
