"HeaderNaturalKey","FirmId","VendorNumber","PurchaseOrderNumber","ReceiverNumber","OrderDateRaw","ErpFormattedOrderDate","CanonicalOrderDate","RequiredDateRaw","RequiredDateIso","ReceiptDateRaw","ReceiptDateIso","Classification"
"0100000300100100000014","01","000003","0010010","0000014","991123","11/23/99","1999-11-23","991229","1999-12-29","A00131","2000-01-31","Valid representative"
"0100000200101720000454","01","000002","0010172","0000454","A00303","03/03/00","2000-03-03","A00309","2000-03-09","A00516","2000-05-16","Valid representative"
"0100000300155080010770","01","000003","0015508","0010770","A50316","03/16/05","2005-03-16","A50330","2005-03-30","A50412","2005-04-12","Valid representative"
"0100000300214330020698","01","000003","0021433","0020698","B00225","02/25/10","2010-02-25","B00304","2010-03-04","B00331","2010-03-31","Valid representative"
"0100003200260800025243","01","000032","0026080","0025243","B30125","01/25/13","2013-01-25","B30129","2013-01-29","B30205","2013-02-05","Valid representative"
"0100003100411300033673","01","000031","0041130","0033673","B90108","01/08/19","2019-01-08","B90116","2019-01-16","B90122","2019-01-22","Valid representative"
"0100003100458930039214","01","000031","0045893","0039214","C60122","01/22/26","2026-01-22","C60127","2026-01-27","C60212","2026-02-12","Valid representative"
"0100007700266390026191","01","000077","0026639","0026191","311029","10/29/31","","B31105","2013-11-05","B31108","2013-11-08","Out of snapshot horizon; intended date unproven"
"0100007700266390026233","01","000077","0026639","0026233","311029","10/29/31","","B31105","2013-11-05","B31111","2013-11-11","Out of snapshot horizon; intended date unproven"
"0154982500417020034309","01","549825","0041702","0034309","490916","09/16/49","","B90919","2019-09-19","B90923","2019-09-23","Out of snapshot horizon; intended date unproven"
"0154982500417020034310","01","549825","0041702","0034310","490916","09/16/49","","B90919","2019-09-19","B90923","2019-09-23","Out of snapshot horizon; intended date unproven"
"0185425000410190033499","01","854250","0041019","0033499","481114","11/14/48","","B81121","2018-11-21","B81116","2018-11-16","Out of snapshot horizon; intended date unproven"
