"CanonicalTable","Field","FirmId","CodeDomain","CodeType","CodeValue","OccurrenceCount","CurrentDescription","Classification"
"CustomerMaster","SalespersonCode","01","Sales","Salesperson","001","146","RAY PAYNE","SourceMaster"
"CustomerMaster","SalespersonCode","01","Sales","Salesperson","002","22","MIGUEL DE LEON, JR.","SourceMaster"
"CustomerMaster","SalespersonCode","01","Sales","Salesperson","003","204","HOUSE ACCOUNT","SourceMaster"
"CustomerMaster","SalespersonCode","01","Sales","Salesperson","004","6","MARTIN LEVAN","SourceMaster"
"CustomerAddress","SalespersonCode","01","Sales","Salesperson","001","14","RAY PAYNE","SourceMaster"
"CustomerAddress","SalespersonCode","01","Sales","Salesperson","002","5","MIGUEL DE LEON, JR.","SourceMaster"
"CustomerAddress","SalespersonCode","01","Sales","Salesperson","003","9","HOUSE ACCOUNT","SourceMaster"
"CustomerMaster","TerritoryCode","01","Customer","Territory","001","376","SOUTHERN CALIFORNIA","SourceMaster"
"CustomerMaster","TerritoryCode","01","Customer","Territory","002","4","OUT OF STATE","SourceMaster"
"CustomerAddress","TerritoryCode","01","Customer","Territory","001","25","SOUTHERN CALIFORNIA","SourceMaster"
"CustomerAddress","TerritoryCode","01","Customer","Territory","002","3","OUT OF STATE","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","01","349","NET 30 DAYS","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","02","22","C O D","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","10","4","NET 30, 2% - 10","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","15","1","NET 15 DAYS","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","45","1","NET 45 DAYS","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","60","2","NET 60","SourceMaster"
"CustomerMaster","PaymentTermsCode","01","Sales","PaymentTerms","PP","1","PREPAID","SourceMaster"
"VendorMaster","PaymentTermsCode","01","Purchasing","PaymentTerms","01","721","NET 30 DAYS","SourceMaster"
"VendorMaster","PaymentTermsCode","01","Purchasing","PaymentTerms","02","45","C.O.D.","SourceMaster"
"VendorMaster","PaymentTermsCode","01","Purchasing","PaymentTerms","45","2","NET 45 DAYS","SourceMaster"
"VendorMaster","PaymentTermsCode","01","Purchasing","PaymentTerms","60","2","NET 60 DAYS","SourceMaster"
"VendorMaster","PaymentTermsCode","01","Purchasing","PaymentTerms","CC","32","CREDIT CARD","SourceMaster"
"PurchaseOrder","PaymentTermsCode","01","Purchasing","PaymentTerms","01","450",,"SourceMaster"
