Ord Dt	Cust#	Cust Name	P/O	Sls Ord#	Ln#	WorkOrd	WorkOrd Qty	Qty Shp'd	Qty Open	Item#	Description	Ship Dt	Price	Ext Price	MatlCost	LabrCost	TotlCost
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	01	0115244	         20	          0	          1	500144-103          	PANEL ASSEMBLY 	06/15/23	   3400.00	   3400.00 	    954.79   	     40.00   	    994.79   
02/16/24	001165	AERO FLUID PRODUCTS      	P129530   	0011833	01	0115359	        150	          0	          2	718720-1            	ISOLATION SWITCH ASSY 	10/16/24	   1150.00	   2300.00 	    213.31   	     96.00   	    309.31   
01/27/25	549250	MASON ELECTRIC CO.       	300016503 	0011948	03	UNKNOWN	          0	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	01/27/25	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
08/21/25	549250	MASON ELECTRIC CO.       	300019634 	0012015	04	UNKNOWN	          0	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	11/10/25	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
09/08/25	001082	ABBOTT TECHNOLOGIES, INC.	47398     	0012023	02	0115533	         12	          0	          1	B11280-17           	POWERBOARD SMT ASSY 	11/12/25	    425.62	    425.62 	     67.00   	     72.40   	    139.40   
08/21/25	549250	MASON ELECTRIC CO.       	300019633 	0012014	04	UNKNOWN	          0	          0	          2	799-057-3           	CCA, LH, PROGRAMMED 	12/10/25	    439.33	    878.66 	      0.00   	     30.00   	     30.00   
01/17/24	001165	AERO FLUID PRODUCTS      	P128954   	0011824	09	UNKNOWN	          0	          0	          4	28785-999           	POWER CABLE ASSY C-13CE 	01/02/26	    713.30	   2853.20 	     76.19   	     90.00   	    166.19   
12/09/25	549250	MASON ELECTRIC CO.       	300021707 	0012046	01	0115560	         40	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	01/23/26	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
02/04/26	549250	MASON ELECTRIC CO.       	N/A       	0012032	01	UNKNOWN	          0	          0	         13	799-057-3           	CCA, LH, PROGRAMMED 	02/04/26	      0.00	      0.00 	      0.00   	     30.00   	     30.00   
02/04/26	549250	MASON ELECTRIC CO.       	N/A       	0012032	04	UNKNOWN	          0	          0	          2	799-057-2           	CCA, RH, PROGRAMMED 	02/04/26	      0.00	      0.00 	      0.00   	     30.00   	     30.00   
01/12/26	549250	MASON ELECTRIC CO.       	300021864 	0012051	01	0115565	         70	          0	         12	799-057-3           	CCA, LH, PROGRAMMED 	02/05/26	    439.33	   5271.96 	      0.00   	     30.00   	     30.00   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	RMA#4227  	0012012	04	UNKNOWN	          0	          0	         -3	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     99.12   	     40.00   	    139.12   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	RMA#4227  	0012012	05	UNKNOWN	          0	          0	          3	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     99.12   	     40.00   	    139.12   
02/05/26	549250	MASON ELECTRIC CO.       	300022069 	0012059	01	0115576	         80	          0	          5	799-057-3           	CCA, LH, PROGRAMMED 	02/21/26	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
02/05/26	549250	MASON ELECTRIC CO.       	300022140 	0012060	01	0115578	         80	          0	         18	799-057-2           	CCA, RH, PROGRAMMED 	03/01/26	    439.33	   7907.94 	      0.00   	     30.00   	     30.00   
12/16/25	001057	FLIGHT LIGHT INC.        	74576     	0012050	01	0115564	        100	          0	          1	HA-GEA20264-1       	FLASHER HEAD MODULE ASSY 	03/12/26	    301.87	    301.87 	     52.34   	     40.00   	     92.34   
03/19/26	549250	MASON ELECTRIC CO.       	300022834 	0012033	01	UNKNOWN	          0	          0	          2	999-6419-03         	PRINTED CIRCUIT BOARD ASSY LED 	03/19/26	     85.35	    170.70 	      0.00   	     40.00   	     40.00   
03/31/26	001021	VALIDYNE ENGINEERING     	19972     	0012035	01	0115593	         56	          0	         36	QR196385            	HARNESS ASSEMBLY 	03/31/26	    500.00	  18000.00 	      0.00   	    160.00   	    160.00   
10/15/25	001037	MEGGITT (N. HOLLYWOOD), I	4551246288	0012028	02	UNKNOWN	          0	          0	         59	160238-1            	CIRCUIT BOARD ASSY 	04/01/26	     46.45	   2740.55 	     13.00   	      0.00   	     13.00   
11/19/25	839287	THERMASOL STEAMBATH CO.  	41636     	0012042	03	UNKNOWN	          0	          0	        100	03-4770-5           	POWER SUPPLY PCB ASSY (SIDE) 	04/15/26	     35.00	   3500.00 	      7.82   	      8.80   	     16.62   
10/27/25	001061	SKURKA AEROSPACE INC.    	P173897   	0012033	01	0115543	        100	          0	        100	H661-BS693          	CABLE ASSY 	04/17/26	    472.80	  47280.00 	    461.02   	     20.40   	    481.42   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	01	0115570	        150	          0	         10	718720-1            	ISOLATION SWITCH ASSY 	04/23/26	   1237.85	  12378.50 	    213.31   	     96.00   	    309.31   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	09	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	05/05/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
02/02/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP44592 	0012057	01	0115574	         55	          0	         55	600280-103          	CONTROLLER BOARD 	05/12/26	    933.50	  51342.50 	     99.12   	     40.00   	    139.12   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	03	UNKNOWN	          0	          0	         20	718720-1            	ISOLATION SWITCH ASSY 	05/13/26	   1237.85	  24757.00 	    213.31   	     96.00   	    309.31   
11/19/25	839287	THERMASOL STEAMBATH CO.  	41636     	0012042	08	UNKNOWN	          0	          0	        100	03-4780             	ONE TOUCH PCB ASSY 	05/15/26	     34.43	   3443.00 	     75.78   	      9.90   	     85.68   
05/20/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP37357 	0011896	01	0115414	         20	          0	         -1	500144-103          	PANEL ASSEMBLY 	05/20/26	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
05/20/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP37357 	0011896	02	UNKNOWN	          0	          0	          1	500144-103          	PANEL ASSEMBLY 	05/20/26	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
